Rank,Title,Model,Domain,Preservation Rate,Total Cues,Preserved
1,Badenoch urged to ‘come clean’ after doubt cast on Stanford University claim,Gemma-2-9B-IT,politics,66.10%,59,39
2,Jimmy Kimmel on the Republicans: ‘So much greed and hypocrisy and duplicity’,TextRank,culture,63.04%,46,29
3,Jimmy Kimmel on the Republicans: ‘So much greed and hypocrisy and duplicity’,TextRank,culture,63.04%,46,29
4,There must be an Engels (playing with my chart),TextRank,education,61.29%,31,19
5,There must be an Engels (playing with my chart),TextRank,education,61.29%,31,19
6,There must be an Engels (playing with my chart),Gemma-2-9B-IT,education,61.29%,31,19
7,Laurence Fox’s libel claim over racism accusations to go to retrial,TextRank,culture,60.87%,46,28
8,NFL bets big on Saudi Arabia with Tom Brady-led flag football showcase,TextRank,sports,58.33%,72,42
9,Partial to pre-drinks and a party? Your guide to getting the most out of student,Gemma-2-9B-IT,education,57.89%,38,22
10,Jimmy Kimmel on the Republicans: ‘So much greed and hypocrisy and duplicity’,Gemma-2-9B-IT,culture,56.52%,46,26
