model,domain,format,summary_length,article_cues,compression_ratio,preservation_rate
TextRank,politics,bullets,246,150,0.0328,0.2733
TextRank,politics,one_paragraph,239,150,0.03186666666666667,0.24
TextRank,politics,three_sentence,86,150,0.011466666666666667,0.0867
TextRank,politics,bullets,156,63,0.049523809523809526,0.4603
TextRank,politics,one_paragraph,150,63,0.047619047619047616,0.4603
TextRank,politics,three_sentence,82,63,0.02603174603174603,0.3492
TextRank,politics,bullets,127,39,0.06512820512820512,0.5128
TextRank,politics,one_paragraph,122,39,0.06256410256410257,0.5385
TextRank,politics,three_sentence,78,39,0.04,0.3077
TextRank,politics,bullets,186,177,0.021016949152542375,0.1864
TextRank,politics,one_paragraph,179,177,0.02022598870056497,0.1921
TextRank,politics,three_sentence,71,177,0.008022598870056498,0.0678
TextRank,politics,bullets,182,109,0.03339449541284404,0.2569
TextRank,politics,one_paragraph,175,109,0.03211009174311927,0.2661
TextRank,politics,three_sentence,83,109,0.015229357798165137,0.1009
TextRank,politics,bullets,198,83,0.047710843373493975,0.4819
TextRank,politics,one_paragraph,193,83,0.046506024096385545,0.4699
TextRank,politics,three_sentence,131,83,0.03156626506024096,0.3494
TextRank,politics,bullets,229,84,0.05452380952380952,0.2619
TextRank,politics,one_paragraph,222,84,0.05285714285714286,0.2738
TextRank,politics,three_sentence,101,84,0.024047619047619047,0.119
TextRank,politics,bullets,206,74,0.055675675675675676,0.3919
TextRank,politics,one_paragraph,199,74,0.05378378378378378,0.3919
TextRank,politics,three_sentence,89,74,0.024054054054054055,0.2432
TextRank,politics,bullets,180,81,0.044444444444444446,0.2222
TextRank,politics,one_paragraph,173,81,0.04271604938271605,0.1852
TextRank,politics,three_sentence,62,81,0.015308641975308642,0.0617
TextRank,politics,bullets,142,54,0.052592592592592594,0.5556
TextRank,politics,one_paragraph,137,54,0.05074074074074074,0.537
TextRank,politics,three_sentence,89,54,0.032962962962962965,0.3519
TextRank,politics,bullets,213,97,0.043917525773195874,0.433
TextRank,politics,one_paragraph,206,97,0.04247422680412371,0.4227
TextRank,politics,three_sentence,109,97,0.022474226804123712,0.2784
TextRank,politics,bullets,152,160,0.019,0.1812
TextRank,politics,one_paragraph,145,160,0.018125,0.1875
TextRank,politics,three_sentence,76,160,0.0095,0.1062
TextRank,politics,bullets,219,78,0.05615384615384615,0.3718
TextRank,politics,one_paragraph,212,78,0.05435897435897436,0.3846
TextRank,politics,three_sentence,115,78,0.029487179487179487,0.2436
TextRank,politics,bullets,137,129,0.021240310077519378,0.1473
TextRank,politics,one_paragraph,130,129,0.020155038759689922,0.1395
TextRank,politics,three_sentence,86,129,0.013333333333333334,0.0853
TextRank,politics,bullets,225,136,0.03308823529411765,0.1838
TextRank,politics,one_paragraph,218,136,0.032058823529411765,0.1691
TextRank,politics,three_sentence,92,136,0.013529411764705882,0.0735
TextRank,politics,bullets,179,91,0.03934065934065934,0.2747
TextRank,politics,one_paragraph,173,91,0.03802197802197802,0.2747
TextRank,politics,three_sentence,109,91,0.023956043956043956,0.1978
TextRank,politics,bullets,197,114,0.03456140350877193,0.3246
TextRank,politics,one_paragraph,190,114,0.03333333333333333,0.3158
TextRank,politics,three_sentence,106,114,0.018596491228070177,0.1491
TextRank,politics,bullets,115,93,0.024731182795698924,0.3548
TextRank,politics,one_paragraph,110,93,0.023655913978494623,0.3978
TextRank,politics,three_sentence,82,93,0.01763440860215054,0.3118
TextRank,politics,bullets,95,124,0.01532258064516129,0.0806
TextRank,politics,one_paragraph,88,124,0.014193548387096775,0.0806
TextRank,politics,three_sentence,53,124,0.008548387096774194,0.0726
TextRank,politics,bullets,243,127,0.03826771653543307,0.4016
TextRank,politics,one_paragraph,236,127,0.03716535433070866,0.378
TextRank,politics,three_sentence,108,127,0.01700787401574803,0.2047
TextRank,politics,bullets,217,69,0.06289855072463768,0.4203
TextRank,politics,one_paragraph,210,69,0.06086956521739131,0.4058
TextRank,politics,three_sentence,104,69,0.030144927536231884,0.1884
TextRank,politics,bullets,144,59,0.0488135593220339,0.4746
TextRank,politics,one_paragraph,139,59,0.04711864406779661,0.4576
TextRank,politics,three_sentence,102,59,0.03457627118644068,0.339
TextRank,politics,bullets,238,104,0.04576923076923077,0.2885
TextRank,politics,one_paragraph,231,104,0.044423076923076926,0.3077
TextRank,politics,three_sentence,125,104,0.02403846153846154,0.1827
TextRank,politics,bullets,198,60,0.066,0.4
TextRank,politics,one_paragraph,193,60,0.06433333333333334,0.3833
TextRank,politics,three_sentence,122,60,0.04066666666666666,0.2167
TextRank,culture,bullets,220,51,0.08627450980392157,0.549
TextRank,culture,one_paragraph,213,51,0.08352941176470588,0.549
TextRank,culture,three_sentence,108,51,0.042352941176470586,0.4118
TextRank,culture,bullets,177,47,0.07531914893617021,0.1489
TextRank,culture,one_paragraph,170,47,0.07234042553191489,0.1915
TextRank,culture,three_sentence,76,47,0.03234042553191489,0.1277
TextRank,culture,bullets,198,60,0.066,0.5167
TextRank,culture,one_paragraph,191,60,0.06366666666666666,0.5
TextRank,culture,three_sentence,102,60,0.034,0.3333
TextRank,culture,bullets,167,40,0.0835,0.375
TextRank,culture,one_paragraph,160,40,0.08,0.375
TextRank,culture,three_sentence,75,40,0.0375,0.15
TextRank,culture,bullets,194,42,0.09238095238095238,0.4286
TextRank,culture,one_paragraph,187,42,0.08904761904761904,0.4048
TextRank,culture,three_sentence,74,42,0.035238095238095235,0.1905
TextRank,culture,bullets,153,65,0.04707692307692308,0.1538
TextRank,culture,one_paragraph,146,65,0.04492307692307692,0.1538
TextRank,culture,three_sentence,82,65,0.02523076923076923,0.1538
TextRank,culture,bullets,180,149,0.024161073825503355,0.2013
TextRank,culture,one_paragraph,173,149,0.023221476510067115,0.2081
TextRank,culture,three_sentence,93,149,0.012483221476510067,0.1275
TextRank,culture,bullets,204,106,0.038490566037735846,0.2264
TextRank,culture,one_paragraph,197,106,0.03716981132075472,0.217
TextRank,culture,three_sentence,75,106,0.014150943396226415,0.1132
TextRank,culture,bullets,292,136,0.04294117647058823,0.2574
TextRank,culture,one_paragraph,285,136,0.04191176470588235,0.2353
TextRank,culture,three_sentence,160,136,0.023529411764705882,0.1618
